City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Hobart,AU,2020-01-05 08:38:14,-42.88,147.33,64.4,45,20,10.29,few clouds,0.0,0.0
Naze,NG,2020-01-05 08:41:41,5.43,7.07,73.4,35,11,10.29,dust,0.0,0.0
Kabare,RW,2020-01-05 08:41:41,-1.65,29.38,62.02,84,81,3.78,light rain,2.38,0.0
Ushuaia,AR,2020-01-05 08:38:14,-54.81,-68.31,50.0,66,40,10.29,scattered clouds,0.0,0.0
Amahai,ID,2020-01-05 08:41:42,-3.31,129.0,85.62,67,36,4.38,light rain,1.81,0.0
Rikitea,PF,2020-01-05 08:38:13,-23.12,-134.97,75.65,74,55,17.2,broken clouds,0.0,0.0
Cayenne,GF,2020-01-05 08:41:42,4.94,-52.33,77.0,88,19,3.36,light rain,0.44,0.0
Barrow,AR,2020-01-05 08:41:42,-38.31,-60.23,62.24,95,95,5.46,light rain,0.81,0.0
Marystown,CA,2020-01-05 08:41:42,47.17,-55.16,31.77,87,100,1.92,overcast clouds,0.0,0.0
Brae,GB,2020-01-05 08:41:34,60.4,-1.35,50.0,93,40,36.91,light rain,0.0,0.0
Avarua,CK,2020-01-05 08:41:43,-21.21,-159.78,77.0,94,100,1.12,light rain,0.25,0.0
Marrakesh,MA,2020-01-05 08:41:43,31.63,-7.99,42.8,87,0,3.36,clear sky,0.0,0.0
Souillac,FR,2020-01-05 08:41:43,45.6,-0.6,36.0,100,20,1.12,few clouds,0.0,0.0
Carnarvon,ZA,2020-01-05 08:41:43,-30.97,22.13,85.24,16,53,13.0,broken clouds,0.0,0.0
Busselton,AU,2020-01-05 08:41:43,-33.64,115.35,84.99,11,0,9.66,clear sky,0.0,0.0
Walvis Bay,NA,2020-01-05 08:41:44,-22.95,14.51,64.99,82,90,2.24,overcast clouds,0.0,0.0
Airai,TL,2020-01-05 08:41:44,-8.93,125.41,73.8,83,78,3.36,light rain,2.63,0.0
Chumphon,TH,2020-01-05 08:39:44,10.5,99.18,87.8,70,40,10.29,scattered clouds,0.0,0.0
Hermanus,ZA,2020-01-05 08:41:13,-34.42,19.24,75.99,63,99,8.99,overcast clouds,0.0,0.0
Honiara,SB,2020-01-05 08:41:45,-9.43,159.96,84.2,74,75,2.24,broken clouds,0.0,0.0
Alice Springs,AU,2020-01-05 08:39:30,-23.7,133.88,82.4,37,75,14.99,broken clouds,0.0,0.0
Banda Aceh,ID,2020-01-05 08:41:45,5.56,95.32,85.01,61,74,9.13,broken clouds,0.0,0.0
Mataura,NZ,2020-01-05 08:41:45,-46.19,168.86,52.0,70,28,14.0,scattered clouds,0.0,0.0
Cape Town,ZA,2020-01-05 08:40:03,-33.93,18.42,73.0,68,75,16.11,broken clouds,0.0,0.0
Kaitangata,NZ,2020-01-05 08:38:49,-46.28,169.85,54.0,52,17,13.0,few clouds,0.0,0.0
Surgut,RU,2020-01-05 08:41:46,61.25,73.4,28.4,100,90,13.42,overcast clouds,0.0,0.0
Clyde River,CA,2020-01-05 08:41:46,70.47,-68.59,-27.4,60,90,8.05,light snow,0.0,0.0
Vaini,IN,2020-01-05 08:41:14,15.34,74.49,82.4,39,20,6.93,few clouds,0.0,0.0
Narsaq,GL,2020-01-05 08:41:47,60.91,-46.05,23.0,79,100,4.7,light shower snow,0.0,0.0
Vanderhoof,CA,2020-01-05 08:41:47,54.02,-124.02,24.21,76,100,11.52,overcast clouds,0.0,0.0
Inyonga,TZ,2020-01-05 08:41:47,-6.72,32.06,79.9,65,100,3.18,light rain,1.44,0.0
Saskylakh,RU,2020-01-05 08:41:47,71.97,114.09,-19.35,92,60,8.88,broken clouds,0.0,0.0
Tazovskiy,RU,2020-01-05 08:41:47,67.47,78.7,21.31,89,60,19.86,broken clouds,0.0,0.0
Puerto Ayora,EC,2020-01-05 08:41:48,-0.74,-90.35,75.0,83,53,4.0,broken clouds,0.0,0.0
New Norfolk,AU,2020-01-05 08:41:48,-42.78,147.06,64.4,45,20,10.29,few clouds,0.0,0.0
Lompoc,US,2020-01-05 08:41:48,34.64,-120.46,52.0,100,90,15.03,light rain,0.0,0.0
Cerro Largo,BR,2020-01-05 08:41:48,-28.15,-54.74,64.99,92,0,4.65,clear sky,0.0,0.0
Tasiilaq,GL,2020-01-05 08:38:52,65.61,-37.64,26.6,68,100,5.82,overcast clouds,0.0,0.0
La Grande,US,2020-01-05 08:37:39,45.32,-118.09,39.0,80,40,8.05,scattered clouds,0.0,0.0
Butaritari,KI,2020-01-05 08:38:27,3.07,172.79,84.99,78,100,12.75,light rain,0.56,0.0
Cherskiy,RU,2020-01-05 08:41:49,68.75,161.3,-4.5,60,20,7.36,few clouds,0.0,0.0
Kapaa,US,2020-01-05 08:38:21,22.08,-159.32,75.2,88,90,19.46,light rain,0.0,0.0
Libreville,GA,2020-01-05 08:41:49,0.39,9.45,80.6,88,40,3.36,scattered clouds,0.0,0.0
Zhigansk,RU,2020-01-05 08:41:19,66.77,123.37,-15.9,95,100,11.34,overcast clouds,0.0,0.0
Bukoba,TZ,2020-01-05 08:41:49,-1.33,31.81,73.24,71,100,9.35,overcast clouds,0.0,0.0
Atuona,PF,2020-01-05 08:38:42,-9.8,-139.03,79.95,74,0,6.82,light rain,0.25,0.0
Rawson,AR,2020-01-05 08:41:50,-43.3,-65.11,59.22,80,100,16.58,overcast clouds,0.0,0.0
Hualmay,PE,2020-01-05 08:41:50,-11.1,-77.61,66.36,91,65,2.01,broken clouds,0.0,0.0
Punta Arenas,CL,2020-01-05 08:40:56,-53.16,-70.91,48.2,81,90,6.93,light rain,0.0,0.0
Mar Del Plata,AR,2020-01-05 08:41:51,-46.43,-67.52,55.81,42,100,22.75,overcast clouds,0.0,0.0
Ostrovnoy,RU,2020-01-05 08:40:55,68.05,39.51,14.31,88,40,25.39,scattered clouds,0.0,0.0
Whitianga,NZ,2020-01-05 08:37:35,-36.83,175.7,64.99,81,65,3.0,broken clouds,0.0,0.0
Saint-Philippe,CA,2020-01-05 08:41:51,45.36,-73.48,30.2,74,90,10.29,overcast clouds,0.0,0.0
Port Alfred,ZA,2020-01-05 08:41:51,-33.59,26.89,73.0,89,100,10.0,overcast clouds,0.0,0.0
Popondetta,PG,2020-01-05 08:41:51,-8.77,148.24,69.03,94,96,2.24,moderate rain,11.63,0.0
Acari,BR,2020-01-05 08:41:52,-6.44,-36.64,71.74,81,100,7.87,overcast clouds,0.0,0.0
Bluff,AU,2020-01-05 08:41:52,-23.58,149.07,83.59,50,55,14.16,broken clouds,0.0,0.0
Escarcega,MX,2020-01-05 08:41:52,18.61,-90.75,65.53,90,70,2.59,light rain,0.13,0.0
La Rioja,AR,2020-01-05 08:39:12,-29.41,-66.86,68.68,50,0,2.59,clear sky,0.0,0.0
Karratha,AU,2020-01-05 08:38:04,-20.74,116.85,84.99,72,91,14.94,overcast clouds,0.0,0.0
Komsomolskiy,RU,2020-01-05 08:41:52,67.55,63.78,22.84,90,100,27.25,light snow,0.0,0.56
Castro,CL,2020-01-05 08:41:13,-42.48,-73.76,51.8,76,79,5.82,light rain,0.44,0.0
Sisimiut,GL,2020-01-05 08:41:53,66.94,-53.67,6.21,95,100,5.82,light snow,0.0,0.69
Susehri,TR,2020-01-05 08:39:50,40.16,38.09,22.17,95,78,3.62,broken clouds,0.0,0.0
Axim,GH,2020-01-05 08:41:53,4.87,-2.24,80.33,37,87,4.65,overcast clouds,0.0,0.0
Turayf,SA,2020-01-05 08:41:54,31.68,38.65,48.2,93,75,13.87,broken clouds,0.0,0.0
Saint-Joseph,FR,2020-01-05 08:41:54,43.56,6.97,52.0,81,0,6.93,clear sky,0.0,0.0
