City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
Amahai,ID,light rain,85.62,-3.31,129.0,Penginapan Madina
Cayenne,GF,light rain,77.0,4.94,-52.33,Hôtel Le Dronmi
Avarua,CK,light rain,77.0,-21.21,-159.78,Paradise Inn
Inyonga,TZ,light rain,79.9,-6.72,32.06,Eden Rock Lodge
Butaritari,KI,light rain,84.99,3.07,172.79,Isles Sunset Lodge
Atuona,PF,light rain,79.95,-9.8,-139.03,Villa Enata
Dingle,PH,light rain,77.54,11.0,122.67,Camp Pasica
Sao Jose Da Coroa Grande,BR,light rain,79.52,-8.9,-35.15,Crôa Mares Hotel
Sambava,MG,light rain,84.78,-14.27,50.17,Melrose
Faanui,PF,light rain,81.39,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Kavieng,PG,light rain,84.85,-2.57,150.8,Nusa Island Retreat
Muisne,EC,light rain,75.15,0.61,-80.02,Quinta Samay
Namatanai,PG,moderate rain,84.52,-3.66,152.44,Namatanai Hotel
Isangel,VU,light rain,76.48,-19.55,169.27,Volcano Sea View Tree House
Sao Joao Da Barra,BR,light rain,75.6,-21.64,-41.05,Pousada Porto De Canoas
Gandajika,CD,light rain,78.49,-6.75,23.95,
Mwene-Ditu,CD,light rain,76.82,-7.01,23.45,Hôtel Kamas
Paraiso,BR,moderate rain,75.2,-0.03,-51.17,Porto Santana
Tual,ID,light rain,83.7,-5.67,132.75,Grand Vilia Hotel
Nuqui,CO,moderate rain,78.35,5.71,-77.27,Hotel Nuquimar
Padang,ID,light rain,79.83,-0.92,100.36,Mercure Padang
Rabaul,PG,light rain,85.01,-4.2,152.17,Rabaul Hotel
Narasannapeta,IN,light rain,79.07,18.42,84.04,Sri Gayatri Lodge
Gua Musang,MY,light rain,77.74,4.88,101.97,Mines Inn Hotel
Ugoofaaru,MV,light rain,82.0,5.67,73.0,Ungoofaaru Inn
Boyolangu,ID,moderate rain,82.0,-8.09,111.9,Hotel Istana
Carutapera,BR,light rain,79.27,-1.2,-46.02,Lidera
Chongwe,ZM,light rain,77.02,-15.33,28.68,Farm KS
Buala,SB,moderate rain,82.22,-8.15,159.59,Maringe Lagoon Lodge
Sinnamary,GF,light rain,78.98,5.38,-52.96,ALETHEIA Appartement Sinnamary
Caravelas,BR,light rain,75.18,-17.73,-39.27,Pousada Dos Navegantes
Banjar,ID,moderate rain,79.39,-7.37,108.54,Mandiri
San Policarpo,PH,light rain,80.11,12.18,125.51,Zal-Ann Beach Resort
Kendari,ID,light rain,78.8,-3.99,122.52,Hotel Wixel
