City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Mataura,NZ,2020-01-05 06:39:12,-46.19,168.86,55.0,66,51,20.0,broken clouds,0.0,0.0
1,Vila Velha,BR,2020-01-05 06:35:46,-3.71,-38.6,86.0,83,40,4.7,scattered clouds,0.0,0.0
2,Nizhnekamsk,RU,2020-01-05 06:39:12,55.64,51.82,30.2,100,90,17.9,mist,0.0,0.0
3,Tuktoyaktuk,CA,2020-01-05 06:39:12,69.44,-133.03,-25.6,67,20,12.75,few clouds,0.0,0.0
4,New Norfolk,AU,2020-01-05 06:39:12,-42.78,147.06,68.0,42,0,16.11,clear sky,0.0,0.0
5,Talnakh,RU,2020-01-05 06:39:13,69.49,88.39,8.6,92,90,33.55,overcast clouds,0.0,0.0
6,Nikolskoye,RU,2020-01-05 06:39:13,59.7,30.79,32.0,83,75,22.37,broken clouds,0.0,0.0
7,Lazaro Cardenas,MX,2020-01-05 06:39:13,28.39,-105.62,39.99,48,0,3.0,clear sky,0.0,0.0
8,Homer,US,2020-01-05 06:39:13,59.64,-151.54,16.0,71,1,6.69,clear sky,0.0,0.0
9,Saint George,GR,2020-01-05 06:39:13,39.45,22.34,41.0,60,40,4.7,scattered clouds,0.0,0.0
10,Punta Arenas,CL,2020-01-05 06:39:13,-53.16,-70.91,48.2,81,90,9.17,light rain,0.0,0.0
11,Roma,IT,2020-01-05 06:36:23,41.89,12.48,45.0,86,0,10.29,clear sky,0.0,0.0
12,Mabay,CU,2020-01-05 06:39:14,20.35,-76.78,71.6,94,5,1.12,fog,0.0,0.0
13,Ribeira Grande,PT,2020-01-05 06:39:14,38.52,-28.7,60.82,89,100,20.29,light rain,0.69,0.0
14,Kanbe,MM,2020-01-05 06:39:14,16.71,96.0,87.8,52,0,6.93,clear sky,0.0,0.0
15,Dwarka,IN,2020-01-05 06:39:14,28.58,77.04,63.0,63,20,9.17,smoke,0.0,0.0
16,Norman Wells,CA,2020-01-05 06:37:05,65.28,-126.83,-18.4,68,75,5.82,light snow,0.0,0.0
17,Dikson,RU,2020-01-05 06:39:15,73.51,80.55,7.5,89,100,22.7,light snow,0.0,0.5
