City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,0,Mataura,NZ,2020-01-05 06:15:09,-46.19,168.86,55.99,68,51,15.01,broken clouds,0.0,0.0
1,1,Vila Velha,BR,2020-01-05 06:15:09,-3.71,-38.6,86.0,78,20,4.7,few clouds,0.0,0.0
2,2,Nizhnekamsk,RU,2020-01-05 06:15:10,55.64,51.82,30.2,92,90,17.9,mist,0.0,0.0
3,3,Tuktoyaktuk,CA,2020-01-05 06:15:10,69.44,-133.03,-25.6,67,40,11.41,scattered clouds,0.0,0.0
4,4,New Norfolk,AU,2020-01-05 06:15:10,-42.78,147.06,69.01,42,0,17.22,clear sky,0.0,0.0
5,5,Talnakh,RU,2020-01-05 06:15:10,69.49,88.39,8.6,84,90,35.79,overcast clouds,0.0,0.0
6,6,Nikolskoye,RU,2020-01-05 06:15:10,59.7,30.79,32.0,83,75,20.13,broken clouds,0.0,0.0
7,7,Lazaro Cardenas,MX,2020-01-05 06:15:10,28.39,-105.62,41.0,47,0,5.01,clear sky,0.0,0.0
8,8,Homer,US,2020-01-05 06:15:11,59.64,-151.54,16.0,71,1,6.69,clear sky,0.0,0.0
9,9,Saint George,GR,2020-01-05 06:15:11,39.45,22.34,39.99,69,40,3.36,scattered clouds,0.0,0.0
10,10,Punta Arenas,CL,2020-01-05 06:15:11,-53.16,-70.91,48.2,87,90,9.17,light rain,0.0,0.0
11,11,Roma,IT,2020-01-05 06:13:11,41.89,12.48,46.99,93,0,8.05,clear sky,0.0,0.0
12,12,Mabay,CU,2020-01-05 06:15:11,20.35,-76.78,71.6,94,5,1.12,fog,0.0,0.0
13,13,Ribeira Grande,PT,2020-01-05 06:15:12,38.52,-28.7,60.82,89,100,20.29,light rain,0.69,0.0
14,14,Kanbe,MM,2020-01-05 06:15:12,16.71,96.0,87.8,89,0,6.93,clear sky,0.0,0.0
15,15,Dwarka,IN,2020-01-05 06:15:12,28.58,77.04,63.0,72,20,8.05,smoke,0.0,0.0
16,16,Norman Wells,CA,2020-01-05 06:15:12,65.28,-126.83,-20.2,75,75,6.93,light snow,0.0,0.0
17,17,Dikson,RU,2020-01-05 06:15:12,73.51,80.55,7.5,89,100,22.7,light snow,0.0,0.5
18,18,Rikitea,PF,2020-01-05 06:15:13,-23.12,-134.97,75.9,72,42,16.87,scattered clouds,0.0,0.0
19,19,Shingu,JP,2020-01-05 06:15:13,33.72,135.99,48.2,45,40,18.34,scattered clouds,0.0,0.0
20,20,Albany,US,2020-01-05 06:15:13,42.65,-73.75,36.0,80,90,10.29,overcast clouds,0.0,0.0
21,21,Serramanna,IT,2020-01-05 06:15:13,39.42,8.92,51.8,87,40,11.41,scattered clouds,0.0,0.0
22,22,Tilichiki,RU,2020-01-05 06:15:13,60.47,166.1,-6.25,61,41,6.2,scattered clouds,0.0,0.0
23,23,Hit,IQ,2020-01-05 06:15:13,33.64,42.83,51.78,51,19,6.98,few clouds,0.0,0.0
24,24,Chuy,UY,2020-01-05 06:15:14,-33.69,-53.46,65.34,86,0,7.78,clear sky,0.0,0.0
25,25,Santa Lucia,IT,2020-01-05 06:15:14,41.98,12.66,46.99,93,0,8.05,clear sky,0.0,0.0
26,26,Nouakchott,MR,2020-01-05 06:15:14,18.08,-15.98,57.2,26,8,11.41,dust,0.0,0.0
27,27,Hobart,AU,2020-01-05 06:14:32,-42.88,147.33,69.01,42,5,17.22,clear sky,0.0,0.0
28,28,Lefka,GR,2020-01-05 06:15:14,39.1,22.35,39.99,69,40,3.36,scattered clouds,0.0,0.0
29,29,West Wendover,US,2020-01-05 06:15:15,40.74,-114.07,30.2,86,1,9.17,clear sky,0.0,0.0
