City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-01-04 22:29:04,-53.16,-70.91,53.6,54,75,13.87
1,Port Elizabeth,US,2020-01-04 22:29:04,39.31,-74.98,57.0,100,90,3.36
2,Krabi,TH,2020-01-04 22:29:04,8.06,98.92,75.2,100,20,5.82
3,Barrow,AR,2020-01-04 22:29:05,-38.31,-60.23,77.27,55,75,18.05
4,Ankazoabo,MG,2020-01-04 22:29:05,-22.29,44.51,75.22,69,14,2.89
5,Hokitika,NZ,2020-01-04 22:29:05,-42.72,170.96,57.04,65,99,9.84
6,Atuona,PF,2020-01-04 22:29:05,-9.8,-139.03,81.55,68,5,9.24
7,Manitouwadge,CA,2020-01-04 22:29:06,49.12,-85.84,19.4,92,90,2.55
8,Mataura,NZ,2020-01-04 22:29:06,-46.19,168.86,55.99,76,98,27.0
9,Chokurdakh,RU,2020-01-04 22:29:06,70.62,147.9,-14.71,98,73,0.81
10,Chuy,UY,2020-01-04 22:26:01,-33.69,-53.46,74.25,64,13,12.35
11,Sao Francisco De Paula,BR,2020-01-04 22:29:06,-29.45,-50.58,75.99,84,44,1.01
12,Te Anau,NZ,2020-01-04 22:29:06,-45.41,167.72,47.88,82,100,8.14
13,Faanui,PF,2020-01-04 22:29:07,-16.48,-151.75,81.45,77,100,12.1
14,Vaini,IN,2020-01-04 22:29:07,15.34,74.49,59.25,75,0,1.34
15,Carnarvon,ZA,2020-01-04 22:29:07,-30.97,22.13,72.52,24,0,14.58
16,Ust-Dzheguta,RU,2020-01-04 22:29:07,44.09,41.97,25.0,9,0,11.01
17,Ruteng,ID,2020-01-04 22:29:07,-8.61,120.46,70.02,99,100,4.32
18,Fortuna,US,2020-01-04 22:29:08,40.6,-124.16,55.99,71,40,10.29
19,Grand Gaube,MU,2020-01-04 22:29:08,-20.01,57.66,78.01,94,75,12.03
20,Gazanjyk,TM,2020-01-04 22:29:08,39.24,55.52,32.38,61,12,15.97
21,Roma,IT,2020-01-04 22:25:16,41.89,12.48,48.2,93,40,2.24
22,Cidreira,BR,2020-01-04 22:26:09,-30.17,-50.22,73.17,80,23,17.76
23,Bredasdorp,ZA,2020-01-04 22:29:08,-34.53,20.04,64.4,72,25,4.7
24,Maltahohe,NA,2020-01-04 22:29:09,-24.83,16.98,74.71,22,0,14.94
25,Tome,JP,2020-01-04 22:29:09,38.69,141.2,32.0,74,20,11.41
26,Piacabucu,BR,2020-01-04 22:29:09,-10.41,-36.43,79.34,79,100,12.62
27,Svetlogorsk,RU,2020-01-04 22:29:09,53.14,59.15,21.2,85,40,22.37
28,Georgetown,GY,2020-01-04 22:24:48,6.8,-58.16,82.4,74,20,6.93
29,Rikitea,PF,2020-01-04 22:25:53,-23.12,-134.97,77.2,77,67,16.6
30,Airai,TL,2020-01-04 22:29:10,-8.93,125.41,69.01,80,94,5.53
31,Albany,US,2020-01-04 22:29:10,42.65,-73.75,39.99,93,90,6.93
32,Mogwase,ZA,2020-01-04 22:29:10,-25.28,27.22,79.16,45,51,2.1
33,Saskylakh,RU,2020-01-04 22:29:10,71.97,114.09,-21.41,95,62,6.04
34,Hilo,US,2020-01-04 22:29:10,19.71,-155.08,82.4,65,1,4.7
35,Mareeba,AU,2020-01-04 22:29:11,-16.99,145.42,82.4,69,39,6.93
36,Lantawan,PH,2020-01-04 22:29:11,10.62,123.98,77.0,88,20,10.29
37,Sisimiut,GL,2020-01-04 22:29:11,66.94,-53.67,7.54,88,100,4.9
38,Puerto Ayora,EC,2020-01-04 22:29:11,-0.74,-90.35,84.2,58,20,14.99
39,Tasiilaq,GL,2020-01-04 22:26:11,65.61,-37.64,26.6,92,100,7.2
40,Mahibadhoo,MV,2020-01-04 22:29:11,3.78,72.97,81.75,77,58,8.16
41,Ushuaia,AR,2020-01-04 22:27:50,-54.81,-68.31,57.2,41,40,8.05
42,Bud,NO,2020-01-04 22:29:12,62.91,6.91,39.2,74,96,16.11
43,Thompson,CA,2020-01-04 22:26:28,55.74,-97.86,1.4,84,90,3.36
44,Castro,CL,2020-01-04 22:29:13,-42.48,-73.76,60.8,55,0,8.05
45,Ponta Do Sol,BR,2020-01-04 22:26:32,-20.63,-46.0,72.32,89,100,2.01
46,Margate,AU,2020-01-04 22:29:13,-43.03,147.26,59.0,41,75,10.29
47,Kapaa,US,2020-01-04 22:27:32,22.08,-159.32,80.6,78,90,23.04
48,New Norfolk,AU,2020-01-04 22:25:55,-42.78,147.06,59.0,41,75,10.29
49,Puerto Colombia,CO,2020-01-04 22:29:14,10.99,-74.96,84.2,70,41,11.41
50,Samarai,PG,2020-01-04 22:29:14,-10.62,150.67,79.09,81,26,1.25
51,Wanlaweyn,SO,2020-01-04 22:29:14,2.62,44.89,76.57,82,2,6.26
52,San Ramon De La Nueva Oran,AR,2020-01-04 22:29:14,-23.13,-64.33,87.01,60,69,2.68
53,Maldonado,UY,2020-01-04 22:29:14,-34.91,-54.96,75.2,64,20,14.99
54,Las Palmas,CO,2020-01-04 22:29:15,9.27,-75.33,83.25,73,88,9.78
55,Bambous Virieux,MU,2020-01-04 22:26:17,-20.34,57.76,78.01,94,75,13.6
56,Suraia,RO,2020-01-04 22:29:15,45.68,27.38,35.6,74,5,3.36
57,Ciudad Bolivar,VE,2020-01-04 22:27:00,8.12,-63.55,88.7,39,1,9.91
58,Never,RU,2020-01-04 22:29:16,53.98,124.16,-13.14,98,41,1.45
59,Lodwar,KE,2020-01-04 22:29:16,3.12,35.6,84.22,42,56,10.2
